k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
20443,40.886000,50,433,535,429.301198,511.355250,3.698802,23.644750
20444,40.888000,50,432,535,429.301198,511.355250,2.698802,23.644750
20445,40.890000,50,432,535,429.301198,511.355250,2.698802,23.644750
20446,40.892000,50,431,536,429.301198,511.355250,1.698802,24.644750
20447,40.894000,50,429,534,429.301198,511.355250,-0.301198,22.644750
20448,40.896000,50,429,533,429.301198,511.355250,-0.301198,21.644750
20449,40.898000,50,428,534,429.301198,511.355250,-1.301198,22.644750
20450,40.900000,50,428,534,429.301198,511.355250,-1.301198,22.644750
20451,40.902000,50,427,534,429.301198,511.355250,-2.301198,22.644750
20452,40.904000,50,425,534,429.301198,511.355250,-4.301198,22.644750
20453,40.906000,50,424,535,429.301198,511.355250,-5.301198,23.644750
20454,40.908000,50,423,535,429.301198,511.355250,-6.301198,23.644750
20455,40.910000,50,423,535,429.301198,511.355250,-6.301198,23.644750
20456,40.912000,50,423,534,429.301198,511.355250,-6.301198,22.644750
20457,40.914000,50,421,533,429.301198,511.355250,-8.301198,21.644750
20458,40.916000,50,420,534,429.301198,511.355250,-9.301198,22.644750
20459,40.918000,50,420,534,429.301198,511.355250,-9.301198,22.644750
20460,40.920000,50,419,534,429.301198,511.355250,-10.301198,22.644750
20461,40.922000,50,418,534,429.301198,511.355250,-11.301198,22.644750
20462,40.924000,50,417,534,429.301198,511.355250,-12.301198,22.644750
20463,40.926000,50,417,535,429.301198,511.355250,-12.301198,23.644750
20464,40.928000,50,416,536,429.301198,511.355250,-13.301198,24.644750
20465,40.930000,50,415,535,429.301198,511.355250,-14.301198,23.644750
20466,40.932000,50,414,534,429.301198,511.355250,-15.301198,22.644750
20467,40.934000,50,412,534,429.301198,511.355250,-17.301198,22.644750
20468,40.936000,50,413,535,429.301198,511.355250,-16.301198,23.644750
20469,40.938000,50,412,535,429.301198,511.355250,-17.301198,23.644750
20470,40.940000,50,411,535,429.301198,511.355250,-18.301198,23.644750
20471,40.942000,50,410,535,429.301198,511.355250,-19.301198,23.644750
20472,40.944000,50,409,534,429.301198,511.355250,-20.301198,22.644750
20473,40.946000,50,409,535,429.301198,511.355250,-20.301198,23.644750
20474,40.948000,50,407,535,429.301198,511.355250,-22.301198,23.644750
20475,40.950000,50,407,534,429.301198,511.355250,-22.301198,22.644750
20476,40.952000,50,406,533,429.301198,511.355250,-23.301198,21.644750
20477,40.954000,50,405,534,429.301198,511.355250,-24.301198,22.644750
20478,40.956000,50,404,534,429.301198,511.355250,-25.301198,22.644750
20479,40.958000,50,403,534,429.301198,511.355250,-26.301198,22.644750
20480,40.960000,50,405,535,429.301198,511.355250,-24.301198,23.644750
20481,40.962000,50,402,535,429.301198,511.355250,-27.301198,23.644750
20482,40.964000,50,402,535,429.301198,511.355250,-27.301198,23.644750
20483,40.966000,50,401,534,429.301198,511.355250,-28.301198,22.644750
20484,40.968000,50,400,534,429.301198,511.355250,-29.301198,22.644750
20485,40.970000,50,399,534,429.301198,511.355250,-30.301198,22.644750
20486,40.972000,50,399,534,429.301198,511.355250,-30.301198,22.644750
20487,40.974000,50,398,534,429.301198,511.355250,-31.301198,22.644750
20488,40.976000,50,397,535,429.301198,511.355250,-32.301198,23.644750
20489,40.978000,50,396,535,429.301198,511.355250,-33.301198,23.644750
20490,40.980000,50,396,534,429.301198,511.355250,-33.301198,22.644750
20491,40.982000,50,395,534,429.301198,511.355250,-34.301198,22.644750
20492,40.984000,50,395,534,429.301198,511.355250,-34.301198,22.644750
20493,40.986000,50,395,534,429.301198,511.355250,-34.301198,22.644750
20494,40.988000,50,393,534,429.301198,511.355250,-36.301198,22.644750
20495,40.990000,50,393,535,429.301198,511.355250,-36.301198,23.644750
20496,40.992000,50,393,534,429.301198,511.355250,-36.301198,22.644750
20497,40.994000,50,392,534,429.301198,511.355250,-37.301198,22.644750
20498,40.996000,50,391,535,429.301198,511.355250,-38.301198,23.644750
20499,40.998000,50,390,535,429.301198,511.355250,-39.301198,23.644750
20500,41.000000,50,388,532,429.301198,511.355250,-41.301198,20.644750
20501,41.002000,50,388,535,429.301198,511.355250,-41.301198,23.644750
20502,41.004000,50,390,534,429.301198,511.355250,-39.301198,22.644750
20503,41.006000,50,388,534,429.301198,511.355250,-41.301198,22.644750
20504,41.008000,50,388,534,429.301198,511.355250,-41.301198,22.644750
20505,41.010000,50,387,534,429.301198,511.355250,-42.301198,22.644750
20506,41.012000,50,387,535,429.301198,511.355250,-42.301198,23.644750
20507,41.014000,50,386,534,429.301198,511.355250,-43.301198,22.644750
20508,41.016000,50,386,533,429.301198,511.355250,-43.301198,21.644750
20509,41.018000,50,386,533,429.301198,511.355250,-43.301198,21.644750
20510,41.020000,50,386,534,429.301198,511.355250,-43.301198,22.644750
20511,41.022000,50,386,534,429.301198,511.355250,-43.301198,22.644750
20512,41.024000,50,384,534,429.301198,511.355250,-45.301198,22.644750
20513,41.026000,50,384,533,429.301198,511.355250,-45.301198,21.644750
20514,41.028000,50,383,533,429.301198,511.355250,-46.301198,21.644750
20515,41.030000,50,383,534,429.301198,511.355250,-46.301198,22.644750
20516,41.032000,50,383,534,429.301198,511.355250,-46.301198,22.644750
20517,41.034000,50,383,534,429.301198,511.355250,-46.301198,22.644750
20518,41.036000,50,383,534,429.301198,511.355250,-46.301198,22.644750
20519,41.038000,50,383,533,429.301198,511.355250,-46.301198,21.644750
20520,41.040000,50,383,533,429.301198,511.355250,-46.301198,21.644750
20521,41.042000,50,382,534,429.301198,511.355250,-47.301198,22.644750
20522,41.044000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20523,41.046000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20524,41.048000,50,382,534,429.301198,511.355250,-47.301198,22.644750
20525,41.050000,50,381,533,429.301198,511.355250,-48.301198,21.644750
20526,41.052000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20527,41.054000,50,381,533,429.301198,511.355250,-48.301198,21.644750
20528,41.056000,50,381,533,429.301198,511.355250,-48.301198,21.644750
20529,41.058000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20530,41.060000,50,381,533,429.301198,511.355250,-48.301198,21.644750
20531,41.062000,50,380,533,429.301198,511.355250,-49.301198,21.644750
20532,41.064000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20533,41.066000,50,380,534,429.301198,511.355250,-49.301198,22.644750
